Unnamed: 0,Carnes HBE,Precio Carnes HBE,Carnes Soriana,Precio Carnes Soriana,Carnes Chedraui,Precio Carnes Chedraui,Carnes LaComer,Precio Carnes LaComer
,Deshebrada De Pulpa Negra 1 Kg,215.0,Don Francisco Selecta Hueso De Cerdo Para Pozole 1 Kg,29.9,Boquerón Frito 150g,34.6,Molida De Pechuga Pollo Selecto,130.0
,Bistec S/H Para Asar De Res Supreme 1 Kg,164.0,Chuleta De Cerdo Fresca 1 Kg,94.9,Boquerón Seco 130g,22.3,Pechuga Anatomic Pollo Selecto,97.6
,Milanesa De Pollo Congelada Bolsa 750 Gr,123.0,Lomo Cerdo Natural Kg,9.0,Boquerón Enchilado 150g,34.6,Pierna Con Muslo Pollo Selecto,62.0
,Molida De Res 90/10 400 Gr,65.0,Pulpa Trocitos/ Espaldilla De Cerdo 1 Kg,84.9,Camarón Seco 150g,59.0,Pierna Con Muslo Sin Piel Pollo Selecto,69.4
,Filete De Mojarra Granja En Bolsa 900 Gr,107.0,Costilla De Cerdo Cargada Fresca 1 Kg,59.0,Camarón Seco por Kg,490.0,Milanesa De Pechuga Congelada Pollo Selecto,121.0
,Molida De Cerdo 1 Kg,93.0,Espinazo De Cerdo 1 Kg,39.9,Camarón Cocido Pacotilla Premium 450g,199.0,Pierna Pollo Selecto,45.3
,Molida De Res 80 / 20 400 Gr,52.0,Manitas Cerdo Kg,59.9,Camarón Grande sin Cabeza por kg,339.0,Alas Pollo Selecto,44.9
,Milanesa De Pulpa Blanca 1 Kg,205.0,Pierna De Cerdo C/Hue Cong Sta Fe 1 Kg,59.9,Camarón Extra Grande con Cabeza por Kg,360.0,Rabadilla Pollo Selecto,11.9
,Lomos De Salmon Prev. Cong. 1 Kg,380.0,Kacer Chicharron Prensado 1 Kg,52.0,Camarón Pacotilla Pulpa por Kg,319.0,Menudencias Pollo Selecto,22.8
,Cortadillo De Sirloin P/Guisar 1 Kg,195.0,Codillo/Chamorro Cerdo Kg,59.9,Camarón Pacotilla Coctelero por kg,229.0,Molida Sirloin 95/5 Res Selecta,179.9
,Molida Pulpa De Res 1 Kg,195.0,Costilla Cerdo Especial Kg,59.9,Camarón Chico con Cabeza por Kg,199.0,Milanesa De Bola Res Selecta,187.0
,Carbon Mezquite De 3 Kg,66.0,Chuleta Lomo Cerdo Ahumada Kg,84.9,Camarón Chico sin Cabeza por kg,269.0,Milanesa De Centro Res Selecta,196.0
,Milanesa De Pulpa Bola 1 Kg,215.0,Costilla Cerdo Baby Back Kg,35.0,Tentáculos de Calamar Cocido por kg,192.0,Bistec Para Asar Res Selecta,153.9
,Carne De Res Deshebrada 300 Gr,108.0,Cuero Cerdo Kg,46.9,Sopa de Mariscos Gourmet Rivera 500g,127.0,Deshebrada Res Selecta,159.9
,Arrachera De Res Marinada 600 Gr,164.0,Pulpa Trozo /Espaldilla De Cerdo 1 Kg,84.9,Pulpa de Jaiba por Kg,309.0,Molida Selecta 80/20 Res Selecta,177.0
,Top Sirloin 1 Kg,205.0,Chuleta Adobada Rebanada 1 Kg,59.9,Carpaccio Sierra Madre  de Pulpo 100g,149.0,Fajita De Centro Res Selecta,198.0
,Milanesa De Pechuga Aplanada Charola 1 Kg,165.0,Milanesa Lomo Cerdo Empanizada,59.9,Combinacion de Mariscos por Kg,116.0,Chambarete Sin Hueso Res Selecta,155.0
,Pierna Bate S/Piel Empacado 1 Kg,83.0,Pierna De  Pollo C/Muslo 1 Pz Kg,24.9,Mariscada de Neptuno 500g,149.0,Bistec De Diezmillo Res Selecta,170.4
,Milanesa De Sirloin De Res 1 Kg,215.0,Pollo Entero C/V Bachoco Kg,42.9,Filete Tilapia Natural Rivera 600g,119.0,Chambarete Con Hueso Res Selecta,104.9
,Carne De Cerdo Tipo Trompo 500 Gr,62.0,Muslo D/Pollo S/Rabad Pilgrim S  Char Kg,71.0,Filete de Pescado Tilapia 600g,129.0,Bistec De Aguayon Res Selecta,198.0
,Sirloin C/H Para Asar 1 Kg,184.0,Pierna C/Muslo C/Rab Cong,24.9,Filete de Pescado Sierra Madre Barbero Natural 500g,94.9,Carne Para Asar Res Selecta,175.0
,Pierna Bate Blanca 1 Kg,72.0,Pie Bat D/Pollo Pilgrim S Pride Char Kg,73.9,Filete de Pescado Basa Neptuno 600g,129.0,Tampiqueña De Filete Res Selecta,459.0
,Milanesa De Pulpa Negra Junior 1 Kg,246.0,Pollo Entero C/V Pilgrim S Pride Kg,42.9,Filete de Pescado Sierra Madre Lenguado 1 Kilo,349.0,Molida Mixta Res Mixto,125.0
,Aguja Norteña C/H De Res 1 Kg,195.0,Pollo Entero S/V Congelado 1 Pz Kg,41.9,Robalo Gourmet Rivera 500g,319.0,Medallon De Filete Res Selecta,459.0
,Fajita De Pechuga Natural 500 Gr,80.0,Pechuga De Pollo C/Hueso Bachoco Char Kg,97.5,Filete de Salmón Neptuno 140g,99.9,Milanesa De Contra Res Selecta,176.6
,Vampiros De Pulpa Negra En Trocitos 1 Kg,256.0,Milanesa De Pollo Bachoco Char,48.9,Filete de Pescado Sierra Madre Natural 400g,72.0,Bistec Ranchero Res Selecta,176.6
,Costilla Norteña S/H De Res 1 Kg,184.0,Pechuga De Pollo Sin Piel 1 Pz Kg,19.9,Filete Pescado Marinado al Ajillo Rivera 500g,119.0,Pulpa Para Estofado Res Selecta,171.0
,Salchicha Ahumada Polaca 396 Gr,62.0,Pechuga C/Hueso S/Rabadilla Fresca Kg,99.9,Filete de Pescado Sierra Madre Pimienta Limón 500g,104.0,Rib Eye Res Selecta,335.0
,Milanesa De Pulpa Negra Trocitos 1 Kg,236.0,Milanesa De Pollo Natural Alco Char,86.5,Salmón Sierra Madre Adrerezo Alabahaca 900g,449.0,Pulpa Fina Res Selecta,171.0
